Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
UNIVERSITAS MALIKUSSALEH LHOKSEUMAW,Pemerintahan,BL-7015-N,ACEH,JL. TGK CHIK DITIRO NO. 26 KEL. LANCANG GARAM KEC. BANDA SAKTI KO,82267871544,EP,Merah - Kendaraan Pemerintah,2025-09-23,2026-07-12,BELUM LUNAS,BELUM DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-1074-NJ,ACEH,JL. MEDAN-BANDA ACEH KEL. COT TENGKU NIE REULEUT KEC. BANDA SAKTI,8111111111,DP,Merah - Kendaraan Pemerintah,2025-06-13,2026-07-25,BELUM LUNAS,BELUM DIKUNJUNGI
UNIVERSITAS MALIKUSSALEH,Pemerintahan,BL-1028-NV,ACEH,JL. T. CHIK DITIRO NO. 26 KEL. LANCANG GARAM KEC. BANDA SAKTI KOT,81111111111,DP,Merah - Kendaraan Pemerintah,2025-05-22,2026-05-18,BELUM LUNAS,BELUM DIKUNJUNGI
SEKRETARIAT DPRK ACEH UTARA,Pemerintahan,BL-2588-ND,ACEH,JL. MAYJEN NYAK ADAM KAMIL NO. 1 KEL. SIMPANG EMPAT,8123242526,C1,Merah - Kendaraan Pemerintah,2024-09-13,2025-09-20,BELUM LUNAS,BELUM DIKUNJUNGI
SATKER INFRASTRUKTUR LINGPEMELIHAR,Pemerintahan,BL-1033-NJ,ACEH,JL. KOPERASI NO. 82 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85262182926,DP,Merah - Kendaraan Pemerintah,2024-07-31,2025-09-12,BELUM LUNAS,BELUM DIKUNJUNGI
PT YAKULT INDONESIA PERSADA,Perusahaan,BL-4648-NAI,ACEH,JL MEDAN-BANDA ACEH KM 270.5 DSN I LOSKALA KEL.BLANG PANYANG KEC.,0,C1,Hitam - Kendaraan Pribadi,2025-08-11,2026-02-20,BELUM LUNAS,BELUM DIKUNJUNGI
PT WAHYU JAYA PRATAMA,Perusahaan,BL-8657-NP,ACEH,KEL. UTEUNKOT KEC. MUARA DUA KOTA LHOKSEUMAWE,0,F,Kuning - Kendaraan Umum,2025-07-09,2026-06-10,BELUM LUNAS,BELUM DIKUNJUNGI
PT VARUNA TIRTA PRAKASYA,Perusahaan,BL-6155-NS,ACEH,JL. NYAK ADAM KAMIL NO. 12 KEL. KEUDE ACEH KEC. BANDA SAKTI KOTA,0,C1,Hitam - Kendaraan Pribadi,2024-12-05,2025-12-06,BELUM LUNAS,BELUM DIKUNJUNGI
PT USAHA JAYA SAMUDRA,Perusahaan,BL-8557-KS,ACEH,JL. MEDAN - BANDA ACEH KEL. KRUENG GEUKUEH KEC. DEWANTARA KAB. AC,85225218550,F,Kuning - Kendaraan Umum,2025-05-28,2026-05-25,BELUM LUNAS,BELUM DIKUNJUNGI
PT USAHA JAYA SAMUDRA,Perusahaan,BL-8609-NH,ACEH,JL. MEDAN-BANDA ACEH KEL.TAMBON BAROH KEC. DEWANTARA KAB. ACEH UT,8527878000,F,Kuning - Kendaraan Umum,2025-08-27,2026-06-08,BELUM LUNAS,BELUM DIKUNJUNGI
